iter	RMSE
0	14622.04581
1	14439.41994
2	14234.42993
3	14135.26443
4	13945.11881
5	13792.19217
6	13639.82431
7	13523.29838
8	13384.4264
9	13261.53697
10	13125.91621
11	12972.94963
12	12873.46047
13	12740.10988
14	12667.42296
15	12584.9597
16	12527.08101
17	12457.37966
18	12370.28413
19	12300.51829
20	12209.67741
21	12149.05978
22	12043.68249
23	11963.17034
24	11888.33487
25	11840.85024
26	11770.28629
27	11727.85359
28	11674.18786
29	11582.73249
30	11487.66809
31	11433.22937
32	11366.86579
33	11321.60373
34	11238.4107
35	11165.14188
36	11115.71321
37	11074.11383
38	11031.97451
39	10979.61424
40	10945.44795
41	10905.92142
42	10865.84138
43	10811.09436
44	10775.24326
45	10723.9264
46	10697.60931
47	10653.8613
48	10629.81204
49	10607.8856
50	10552.39712
51	10529.79258
52	10492.40336
53	10460.55782
54	10429.24437
55	10382.99502
56	10348.3042
57	10327.63853
58	10285.94208
59	10223.45157
60	10196.679
61	10167.03457
62	10128.9195
63	10112.54743
64	10087.56119
65	10070.15802
66	10040.47844
67	9995.027398
68	9978.550692
69	9957.245226
70	9939.848379
71	9903.482549
72	9886.259517
73	9866.478843
74	9849.29665
75	9832.127324
76	9814.611003
77	9789.291642
78	9768.984375
79	9748.964029
80	9734.197917
81	9713.31025
82	9666.119804
83	9651.060728
84	9631.934105
85	9609.80875
86	9575.041313
87	9561.523305
88	9542.291221
89	9521.431045
90	9503.372888
91	9489.224172
92	9453.920903
93	9438.82931
94	9409.982309
95	9392.375451
96	9372.199417
97	9353.25931
98	9339.566834
99	9317.033678
100	9292.993049
101	9279.157626
102	9265.829741
103	9247.615321
104	9232.954922
105	9208.249672
106	9195.079412
107	9182.841103
108	9166.647852
109	9140.176453
110	9121.629738
111	9101.398221
112	9084.792815
113	9073.273919
114	9054.507378
115	9040.400455
116	9027.637517
117	9020.107918
118	9011.838366
119	8997.225006
120	8984.218539
121	8971.088843
122	8957.980157
123	8948.627697
124	8940.215318
125	8922.233452
126	8916.313183
127	8908.29941
128	8892.906003
129	8883.874616
130	8874.004238
131	8867.168446
132	8849.159821
133	8844.066466
134	8828.952226
135	8822.394464
136	8805.927368
137	8790.779866
138	8783.55925
139	8771.580551
140	8765.295134
141	8760.636706
142	8753.039074
143	8743.829186
144	8730.112895
145	8721.378237
146	8709.83583
147	8702.872347
148	8696.343389
149	8690.15283
150	8671.928544
151	8664.162829
152	8658.238306
153	8653.359247
154	8643.625606
155	8638.711043
156	8630.428434
157	8624.595685
158	8621.195441
159	8617.245811
160	8609.314307
161	8601.112897
162	8591.357762
163	8584.171709
164	8577.700556
165	8572.271025
166	8566.221585
167	8555.507621
168	8545.512996
169	8539.74906
170	8532.823423
171	8522.342708
172	8514.257884
173	8508.015227
174	8500.277187
175	8495.366665
176	8489.77436
177	8486.398865
178	8476.774655
179	8467.788202
180	8457.355721
181	8451.402708
182	8443.491903
183	8436.594916
184	8432.452378
185	8423.129402
186	8417.825944
187	8412.297656
188	8408.426343
189	8398.535919
190	8388.25784
191	8383.059535
192	8377.179024
193	8371.113811
194	8364.062804
195	8357.885457
196	8352.568151
197	8347.974193
198	8341.879195
199	8337.332499
200	8326.677567
201	8321.287826
202	8314.803144
203	8308.106382
204	8303.568419
205	8299.491824
206	8296.381122
207	8291.489698
208	8285.014926
209	8280.997936
210	8275.202853
211	8268.510332
212	8265.92919
213	8261.3098
214	8256.820883
215	8251.412814
216	8246.421987
217	8242.196183
218	8238.008297
219	8234.134783
220	8228.069477
221	8222.377863
222	8219.635454
223	8216.514717
224	8210.273125
225	8207.239282
226	8202.841016
227	8197.972296
228	8193.936351
229	8189.421563
230	8181.880057
231	8178.874075
232	8175.126724
233	8170.263488
234	8165.022138
235	8160.758923
236	8158.777639
237	8154.968683
238	8150.411794
239	8142.504647
240	8137.54652
241	8133.584736
242	8130.671484
243	8124.292192
244	8121.495323
245	8116.925829
246	8112.759843
247	8108.439806
248	8102.925859
249	8098.425589
250	8094.191681
251	8089.563408
