iter	Passed	Remaining
0	14	6961
1	24	6023
2	33	5452
3	41	5111
4	51	5005
5	60	4882
6	69	4810
7	78	4764
8	87	4698
9	96	4662
10	106	4678
11	117	4693
12	125	4637
13	134	4596
14	143	4560
15	152	4549
16	161	4526
17	171	4518
18	181	4528
19	190	4515
20	200	4499
21	209	4478
22	218	4466
23	227	4443
24	236	4423
25	245	4405
26	253	4372
27	263	4370
28	273	4368
29	282	4354
30	291	4343
31	300	4334
32	309	4320
33	319	4307
34	328	4295
35	337	4281
36	346	4273
37	355	4259
38	364	4243
39	373	4234
40	382	4219
41	391	4207
42	400	4191
43	410	4186
44	419	4175
45	429	4171
46	438	4162
47	447	4150
48	456	4140
49	466	4129
50	475	4122
51	483	4100
52	492	4084
53	501	4074
54	509	4061
55	519	4053
56	528	4040
57	536	4026
58	546	4017
59	554	4004
60	564	3995
61	573	3987
62	583	3983
63	592	3973
64	602	3969
65	611	3954
66	620	3942
67	630	3937
68	639	3927
69	647	3911
70	656	3902
71	665	3889
72	674	3880
73	683	3869
74	692	3858
75	701	3851
76	710	3839
77	719	3829
78	728	3819
79	737	3807
80	746	3796
81	756	3790
82	765	3783
83	773	3768
84	783	3761
85	792	3751
86	800	3737
87	810	3728
88	819	3718
89	827	3706
90	837	3699
91	846	3688
92	854	3675
93	863	3665
94	874	3665
95	884	3656
96	892	3644
97	900	3631
98	909	3620
99	917	3606
100	927	3598
101	936	3590
102	946	3582
103	954	3571
104	965	3567
105	974	3559
106	983	3547
107	991	3533
108	999	3522
109	1009	3515
110	1018	3505
111	1028	3497
112	1037	3487
113	1046	3479
114	1056	3471
115	1064	3460
116	1075	3456
117	1085	3450
118	1094	3440
119	1104	3432
120	1112	3421
121	1121	3411
122	1130	3401
123	1139	3391
124	1147	3379
125	1157	3372
126	1167	3365
127	1176	3356
128	1186	3347
129	1195	3336
130	1203	3326
131	1212	3314
132	1221	3305
133	1230	3296
134	1240	3289
135	1248	3278
136	1257	3268
137	1266	3258
138	1275	3249
139	1285	3242
140	1294	3231
141	1303	3221
142	1312	3212
143	1321	3202
144	1329	3191
145	1339	3182
146	1348	3174
147	1357	3164
148	1366	3154
149	1374	3143
150	1383	3133
151	1392	3123
152	1401	3113
153	1410	3105
154	1420	3097
155	1428	3086
156	1439	3080
157	1448	3071
158	1458	3063
159	1467	3054
160	1476	3045
161	1485	3035
162	1495	3026
163	1505	3019
164	1514	3009
165	1522	2999
166	1532	2991
167	1541	2981
168	1550	2972
169	1558	2961
170	1567	2952
171	1577	2943
172	1584	2930
173	1594	2922
174	1603	2914
175	1612	2903
176	1621	2894
177	1630	2884
178	1639	2875
179	1648	2866
180	1656	2855
181	1666	2846
182	1674	2837
183	1684	2828
184	1692	2817
185	1702	2809
186	1711	2800
187	1720	2790
188	1729	2781
189	1738	2771
190	1746	2762
191	1755	2752
192	1765	2743
193	1774	2735
194	1784	2726
195	1793	2716
196	1802	2708
197	1810	2697
198	1819	2687
199	1827	2677
200	1836	2667
201	1845	2658
202	1855	2650
203	1867	2645
204	1876	2635
205	1885	2626
206	1893	2616
207	1902	2607
208	1911	2598
209	1921	2589
210	1930	2580
211	1939	2570
212	1946	2558
213	1955	2549
214	1965	2540
215	1973	2531
216	1983	2522
217	1992	2513
218	2001	2504
219	2011	2496
220	2020	2486
221	2029	2476
222	2039	2469
223	2048	2459
224	2057	2451
225	2067	2443
226	2077	2434
227	2085	2424
228	2094	2414
229	2103	2405
230	2112	2395
231	2120	2386
232	2131	2378
233	2141	2369
234	2150	2360
235	2160	2352
236	2169	2343
237	2178	2334
238	2189	2327
239	2199	2318
240	2208	2309
241	2217	2299
242	2226	2290
243	2236	2282
244	2245	2273
245	2255	2264
246	2264	2255
247	2273	2246
248	2283	2237
249	2292	2227
250	2300	2218
251	2309	2209
252	2319	2200
253	2328	2190
254	2337	2181
255	2347	2172
