iter	Logloss
0	0.3934912708
1	0.3435092025
2	0.3306950512
3	0.3269657756
4	0.3242499619
5	0.3226798753
6	0.3218923674
7	0.3212093782
8	0.3207276143
9	0.3202243067
10	0.3195884339
11	0.3191707664
12	0.3187213633
13	0.3180598196
14	0.3174656158
15	0.3171422532
16	0.3168088415
17	0.3162773837
18	0.315947099
19	0.3157015526
20	0.3154470913
21	0.3152272636
22	0.3149804797
23	0.3148158014
24	0.3146662281
25	0.3143870402
26	0.3142774282
27	0.3141519777
28	0.3137795058
29	0.3136536798
30	0.313438715
31	0.3130869137
32	0.3128125261
33	0.3127241231
34	0.3125509432
35	0.3124653939
36	0.3122311176
37	0.311932346
38	0.3118459123
39	0.311517819
40	0.3113917516
41	0.3111981411
42	0.3111046822
43	0.3110200543
44	0.310823284
45	0.3107565381
46	0.3107000513
47	0.3104840621
48	0.3102522776
49	0.3101357271
50	0.3099591377
51	0.3097767186
52	0.3097286407
53	0.3095145804
54	0.3093048178
55	0.309137508
56	0.308907074
57	0.3087337036
58	0.3085193353
59	0.3084521606
60	0.3084101269
61	0.30831288
62	0.3082155344
63	0.3081070205
64	0.3080658154
65	0.3077758778
66	0.3075875185
67	0.307398819
68	0.3072559141
69	0.3070846828
70	0.3069331673
71	0.3067560987
72	0.3065087406
73	0.3063492514
74	0.3062899369
75	0.3060999425
76	0.3060181126
77	0.3057788247
78	0.3057447569
79	0.305634026
80	0.3053889871
81	0.3053054386
82	0.3051383808
83	0.3049578544
84	0.3047237763
85	0.3045383998
86	0.304344024
87	0.3042344444
88	0.3041956874
89	0.3041610869
90	0.3041162924
91	0.304083867
92	0.303932952
93	0.3038907028
94	0.3038084338
95	0.3037756497
96	0.3037428845
97	0.3035231511
98	0.3034946085
99	0.30333561
