Track,Album,Year,Duration,Time_Signature,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Popularity
Everybody Loves You Now,Cold Spring Harbor,1971,2:47,4,0.547,0.562,11,-13.323,1,0.0477,0.339,0,0.296,0.542,135.667,44
Falling of the Rain,Cold Spring Harbor,1971,2:37,4,0.473,0.407,4,-13.679,1,0.037,0.795,0,0.258,0.674,125.671,32
Got to Begin Again,Cold Spring Harbor,1971,2:49,3,0.43,0.0952,7,-15.637,1,0.0399,0.924,0,0.129,0.117,178.143,29
Nocturne,Cold Spring Harbor,1971,2:46,3,0.328,0.0384,9,-25.465,0,0.0434,0.99,0.912,0.108,0.217,123.305,29
She's Got a Way,Cold Spring Harbor,1971,2:49,4,0.495,0.142,11,-16.186,0,0.0436,0.97,0.00000193,0.113,0.196,75.859,52
Tomorrow Is Today,Cold Spring Harbor,1971,4:39,4,0.527,0.166,0,-16.823,1,0.0321,0.919,0.00000407,0.102,0.241,85.062,33
Turn Around,Cold Spring Harbor,1971,3:04,4,0.496,0.325,7,-15.8,1,0.0308,0.882,0.0591,0.229,0.483,82.286,28
Why Judy Why,Cold Spring Harbor,1971,2:56,4,0.543,0.199,6,-15.48,1,0.0337,0.963,0.0053,0.111,0.195,115.897,32
You Can Make Me Free,Cold Spring Harbor,1971,2:56,4,0.377,0.651,1,-13.588,0,0.176,0.743,0.00000506,0.187,0.529,166.981,31
You Look so Good to Me,Cold Spring Harbor,1971,2:26,4,0.517,0.383,7,-13.413,1,0.085,0.738,0.651,0.113,0.546,74.507,28
Ain't No Crime,Piano Man,1973,3:17,4,0.577,0.735,0,-8.214,1,0.0297,0.54,0.00179,0.248,0.964,142.91,30
Captain Jack,Piano Man,1973,7:17,4,0.392,0.629,0,-8.885,1,0.0447,0.562,0.0000612,0.374,0.539,146.657,40
If I Only Had the Words (To Tell You),Piano Man,1973,3:32,4,0.409,0.448,0,-9.056,1,0.0259,0.751,0.0000426,0.27,0.394,141.598,29
Piano Man,Piano Man,1973,5:36,3,0.334,0.477,0,-8.806,1,0.0276,0.618,0.00000417,0.312,0.405,179.239,59
Somewhere Along the Line,Piano Man,1973,3:20,4,0.527,0.529,7,-9.692,1,0.0332,0.7,0.0236,0.0834,0.544,82.324,29
Stop in Nevada,Piano Man,1973,3:55,4,0.407,0.442,2,-11.181,1,0.0311,0.608,0.000565,0.0845,0.504,78.15,29
The Ballad of Billy the Kid,Piano Man,1973,5:40,4,0.41,0.524,0,-10.362,1,0.0667,0.595,0.0000944,0.077,0.362,168.771,32
Travelin' Prayer,Piano Man,1973,4:13,4,0.503,0.693,2,-12.043,1,0.0398,0.125,0.32,0.0521,0.836,147.252,30
Worse Comes to Worst,Piano Man,1973,3:12,4,0.791,0.69,0,-8.513,1,0.0403,0.423,0.0000173,0.0383,0.961,131.898,28
You're My Home,Piano Man,1973,3:13,4,0.566,0.518,5,-12.644,1,0.0283,0.178,0.00000967,0.187,0.659,93.132,42
Last of the Big Time Spenders,Streetlife Serenade,1974,4:35,4,0.532,0.309,0,-12.598,1,0.0336,0.819,0.000209,0.0924,0.174,122.233,26
Los Angelenos,Streetlife Serenade,1974,3:41,4,0.695,0.842,2,-7.957,0,0.0404,0.44,0.000168,0.0632,0.752,129.837,31
Roberta,Streetlife Serenade,1974,4:35,4,0.495,0.653,0,-10.167,1,0.0284,0.352,0.0114,0.0997,0.447,147.548,26
Root Beer Rag,Streetlife Serenade,1974,3:03,4,0.415,0.704,1,-8.889,1,0.0306,0.247,0.828,0.126,0.883,144.144,33
Souvenir,Streetlife Serenade,1974,2:00,4,0.409,0.0619,3,-15.058,1,0.0404,0.986,0.000102,0.164,0.24,131.987,33
Streetlife Serenader,Streetlife Serenade,1974,5:18,4,0.416,0.376,2,-11.167,1,0.0338,0.82,0.106,0.233,0.0902,141.02,30
The Entertainer,Streetlife Serenade,1974,3:41,4,0.611,0.912,0,-6.775,1,0.0398,0.105,0,0.117,0.77,101.307,50
The Great Suburban Showdown,Streetlife Serenade,1974,3:46,4,0.587,0.474,7,-10.884,1,0.036,0.591,0.0000169,0.225,0.358,76.521,29
The Mexican Connection,Streetlife Serenade,1974,3:37,4,0.461,0.546,2,-10.704,1,0.0437,0.678,0.816,0.0996,0.395,80.33,24
Weekend Song,Streetlife Serenade,1974,3:31,4,0.609,0.775,5,-6.428,1,0.0425,0.263,0.00000751,0.46,0.915,150.508,27
Everybody Has a Dream,The Stranger,1977,6:36,3,0.42,0.361,7,-10.75,1,0.0341,0.413,0.00304,0.0708,0.0843,112.26,35
Get It Right the First Time,The Stranger,1977,3:56,4,0.612,0.926,0,-5.623,1,0.0532,0.0893,0,0.0717,0.867,106.398,37
Just the Way You Are,The Stranger,1977,4:50,4,0.589,0.453,7,-8.912,1,0.0397,0.703,0.0000254,0.134,0.513,139.148,47
Movin' Out (Anthony's Song),The Stranger,1977,3:30,4,0.664,0.88,2,-5.009,0,0.0326,0.465,0.0000163,0.0591,0.895,133.898,47
Only the Good Die Young,The Stranger,1977,3:55,4,0.579,0.872,0,-6.126,1,0.159,0.159,0,0.0935,0.761,76.214,51
Scenes from an Italian Restaurant,The Stranger,1977,7:36,4,0.415,0.931,5,-4.988,1,0.126,0.407,0.000501,0.114,0.339,97.953,43
She's Always a Woman,The Stranger,1977,3:21,3,0.292,0.324,3,-11.996,1,0.0346,0.797,0.000473,0.12,0.384,176.631,47
The Stranger,The Stranger,1977,5:10,4,0.664,0.878,4,-6.987,0,0.0837,0.165,0.00000764,0.0812,0.222,91.881,51
Vienna,The Stranger,1977,3:34,4,0.532,0.495,10,-6.662,1,0.0343,0.659,0,0.0754,0.308,124.936,53
52nd Street,52nd Street,1978,2:26,4,0.698,0.35,7,-19.319,1,0.0395,0.163,0.0289,0.329,0.636,130.125,32
Big Shot,52nd Street,1978,4:03,4,0.52,0.737,0,-11.715,1,0.0972,0.156,0.00000755,0.0866,0.728,149.861,55
Half a Mile Away,52nd Street,1978,4:08,4,0.584,0.535,7,-14.912,0,0.0538,0.14,0,0.102,0.905,141.685,36
Honesty,52nd Street,1978,3:53,4,0.552,0.265,10,-15.482,1,0.0332,0.415,0,0.107,0.212,135.476,60
