iter	Passed	Remaining
0	32	12790
1	58	11668
2	107	14276
3	156	15450
4	203	16107
5	252	16570
6	301	16906
7	350	17161
8	399	17336
9	448	17473
10	496	17558
11	544	17592
12	591	17617
13	643	17742
14	691	17748
15	738	17725
16	785	17701
17	833	17681
18	882	17697
19	930	17684
20	979	17670
21	1027	17646
22	1074	17619
23	1121	17576
24	1168	17532
25	1216	17494
26	1263	17456
27	1311	17418
28	1358	17377
29	1405	17334
30	1452	17290
31	1500	17259
32	1548	17217
33	1595	17180
34	1644	17148
35	1692	17114
36	1741	17084
37	1789	17051
38	1837	17007
39	1886	16975
40	1934	16939
41	1983	16907
42	2031	16862
43	2078	16816
44	2125	16769
45	2172	16720
46	2220	16673
47	2267	16625
48	2314	16577
49	2360	16523
50	2407	16473
51	2454	16423
52	2501	16375
53	2547	16325
54	2595	16278
55	2642	16231
56	2690	16188
57	2737	16144
58	2785	16099
59	2834	16063
60	2882	16018
61	2930	15976
62	2978	15930
63	3025	15883
64	3074	15844
65	3121	15799
66	3169	15754
67	3217	15709
68	3265	15664
69	3313	15619
70	3360	15572
71	3408	15525
72	3456	15484
73	3504	15437
74	3551	15389
75	3599	15344
76	3650	15313
77	3697	15263
78	3744	15214
79	3792	15168
80	3841	15129
81	3889	15083
82	3939	15047
83	3993	15021
84	4041	14977
85	4089	14932
86	4140	14895
87	4187	14847
88	4235	14799
89	4283	14753
90	4330	14706
91	4377	14656
92	4425	14608
93	4472	14559
94	4519	14511
95	4568	14465
96	4616	14420
97	4663	14372
98	4710	14322
99	4758	14274
100	4805	14225
101	4853	14179
102	4900	14131
103	4948	14082
104	4995	14035
105	5045	13993
106	5093	13948
107	5142	13904
108	5190	13856
109	5237	13808
110	5285	13761
111	5332	13712
112	5379	13662
113	5426	13613
114	5474	13566
115	5521	13519
116	5569	13470
117	5615	13421
118	5663	13373
119	5711	13326
120	5758	13277
121	5806	13231
122	5852	13180
123	5900	13132
124	5947	13084
125	5998	13045
126	6048	13001
127	6096	12955
128	6145	12910
129	6194	12865
130	6241	12816
131	6289	12770
132	6338	12724
133	6388	12681
134	6436	12633
135	6483	12585
136	6531	12539
137	6579	12492
138	6627	12444
139	6674	12396
140	6722	12347
141	6768	12298
142	6816	12250
143	6864	12203
144	6911	12154
145	6959	12107
146	7010	12065
147	7058	12018
148	7106	11972
149	7155	11925
150	7203	11877
151	7250	11830
152	7299	11783
153	7347	11737
154	7397	11693
155	7445	11645
156	7492	11597
157	7540	11549
158	7587	11500
159	7636	11455
160	7685	11408
161	7733	11361
162	7781	11313
163	7829	11266
164	7877	11219
165	7926	11172
166	7975	11127
167	8023	11079
168	8072	11033
169	8120	10986
170	8167	10938
171	8215	10890
172	8263	10843
173	8310	10794
174	8358	10746
175	8405	10698
176	8453	10650
177	8501	10603
178	8548	10554
179	8595	10506
180	8645	10460
181	8693	10413
182	8740	10364
183	8788	10317
184	8836	10269
185	8884	10221
186	8932	10173
187	8980	10126
188	9027	10078
189	9075	10030
190	9122	9982
191	9170	9934
192	9218	9886
193	9268	9842
194	9319	9797
195	9367	9749
196	9424	9711
197	9473	9664
198	9521	9617
199	9577	9577
200	9626	9531
201	9675	9483
202	9723	9435
203	9772	9389
204	9823	9344
205	9871	9296
206	9923	9252
207	9973	9206
208	10021	9158
209	10068	9109
210	10115	9061
211	10163	9012
212	10211	8964
213	10259	8916
214	10308	8870
215	10357	8822
216	10406	8775
217	10455	8728
218	10504	8682
219	10553	8634
220	10600	8586
221	10649	8538
222	10697	8491
223	10746	8443
224	10795	8396
225	10847	8351
226	10898	8305
227	10945	8257
228	10993	8209
229	11041	8160
230	11088	8112
231	11136	8064
232	11186	8017
233	11234	7969
234	11282	7921
235	11330	7873
236	11377	7825
237	11425	7777
238	11476	7731
239	11525	7683
240	11574	7636
241	11626	7590
242	11674	7542
243	11721	7494
244	11770	7446
245	11818	7398
246	11865	7349
247	11914	7302
248	11962	7254
249	12012	7207
250	12061	7160
251	12109	7111
252	12156	7063
253	12203	7014
254	12253	6967
255	12300	6919
256	12348	6871
257	12396	6822
258	12444	6774
259	12491	6726
260	12540	6678
261	12588	6630
262	12637	6582
263	12686	6535
264	12733	6487
265	12782	6439
266	12829	6390
267	12876	6342
268	12927	6295
269	12976	6247
270	13023	6199
271	13073	6152
272	13121	6104
273	13168	6055
274	13216	6007
275	13265	5959
276	13312	5911
277	13360	5863
278	13411	5816
279	13459	5768
280	13507	5720
281	13556	5672
282	13604	5624
283	13653	5576
284	13701	5528
285	13749	5480
286	13797	5432
287	13845	5384
288	13893	5336
289	13954	5293
290	14008	5247
291	14058	5199
292	14106	5151
293	14154	5103
294	14201	5054
295	14249	5006
296	14299	4959
297	14348	4911
298	14396	4863
299	14445	4815
300	14494	4767
301	14543	4719
302	14591	4671
303	14639	4622
304	14686	4574
305	14737	4527
306	14785	4478
307	14833	4430
308	14881	4382
309	14929	4334
310	14977	4286
311	15025	4238
312	15073	4189
